id	presenter_id	timezone	country	gmt_diff	T1	T2	T3	possible_time_slots
35929	presenter 166	(GMT+01:00) Budapest	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35955	presenter 167	(GMT-08:00) Pacific Time (US & Canada)	Canada	-8	TRUE	TRUE	FALSE	T1, T2
35728	presenter 168	GMT-03:00	Brazil	-3	TRUE	FALSE	TRUE	T1, T3
35780	presenter 169	(GMT+01:00) Rome	UK	1	TRUE	TRUE	TRUE	T1, T2, T3
35790	presenter 170	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35758	presenter 171	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35764	presenter 172	(GMT+01:00) Bern	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35806	presenter 172	(GMT+01:00) Budapest	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35763	presenter 173	(GMT+01:00) Stockholm	Sweden	1	TRUE	TRUE	TRUE	T1, T2, T3
35788	presenter 174	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35841	presenter 175	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35794	presenter 176	(GMT+09:00) Osaka	Japan	9	FALSE	TRUE	TRUE	T2, T3
35887	presenter 177	(GMT+01:00) Budapest	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
35805	presenter 178	(GMT+01:00) Berlin	Austria	1	TRUE	TRUE	TRUE	T1, T2, T3
35800	presenter 179	(GMT+01:00) Berlin	USA	1	TRUE	TRUE	TRUE	T1, T2, T3
35838	presenter 180	(GMT+02:00) Istanbul	Turkey	2	TRUE	TRUE	TRUE	T1, T2, T3
35882	presenter 181	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35883	presenter 181	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35896	presenter 182	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35956	presenter 183	(GMT+00:00) London	UK	0	TRUE	FALSE	TRUE	T1, T3
35848	presenter 184	(GMT+01:00) Stockholm	Norway	1	TRUE	TRUE	TRUE	T1, T2, T3
35791	presenter 185	(GMT+01:00) Berlin	Germany	1	TRUE	TRUE	TRUE	T1, T2, T3
35724	presenter 186	GMT+00:00	Chile	0	TRUE	FALSE	TRUE	T1, T3
35881	presenter 187	(GMT+01:00) Amsterdam	The Netherlands	1	TRUE	TRUE	TRUE	T1, T2, T3
35727	presenter 188	GMT+00:00	UK	0	TRUE	FALSE	TRUE	T1, T3
35930	presenter 189	(GMT+01:00) Amsterdam	The Netherlands	1	TRUE	TRUE	TRUE	T1, T2, T3
35742	presenter 190	(GMT+01:00) Vienna	Austria	1	TRUE	TRUE	TRUE	T1, T2, T3
35960	presenter 191	(GMT-05:00) Eastern Time (US & Canada)	Canada	-5	TRUE	FALSE	TRUE	T1, T3
35936	presenter 192	(GMT+01:00) Paris	France	1	TRUE	TRUE	TRUE	T1, T2, T3
35771	presenter 193	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35837	presenter 194	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35831	presenter 195	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35793	presenter 196	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35940	presenter 197	(GMT+01:00) Copenhagen	Denmark	1	TRUE	TRUE	TRUE	T1, T2, T3
35849	presenter 198	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35914	presenter 198	(GMT+01:00) Rome	Italy	1	TRUE	TRUE	TRUE	T1, T2, T3
35873	presenter 199	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35823	presenter 200	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35959	presenter 201	(GMT-08:00) Pacific Time (US & Canada)	USA	-8	TRUE	TRUE	FALSE	T1, T2
35786	presenter 202	GMT-06:00	USA	-6	TRUE	FALSE	TRUE	T1, T3
35832	presenter 203	(GMT+08:00) Beijing	China	8	FALSE	TRUE	TRUE	T2, T3
35858	presenter 204	(GMT-05:00) Eastern Time (US & Canada)	USA	-5	TRUE	FALSE	TRUE	T1, T3
35730	presenter 205	(GMT+01:00) Berlin	Hungary	1	TRUE	TRUE	TRUE	T1, T2, T3
